case,seed,dgx_status,dgx_finish,dgx_wall_s,v100_wall_s,dgx_ttft_s,v100_ttft_s,dgx_completion_tokens
R1,10101,completed,stop,47.75106960698031,73.7777828929975,0.9057308828923851,1.804671543999575,1572
R1,20202,completed,stop,45.87114050006494,49.3799303870037,0.701692330185324,1.8278494179976406,1512
R1,30303,completed,stop,69.11030348506756,47.352655917995435,0.7038652829360217,1.8233298039995134,2395
R2,10101,completed,stop,22.708138795103878,24.413541251000424,0.45414428506046534,1.0353807530000267,662
R2,20202,completed,stop,29.055229695048183,22.25514331600425,0.4244667119346559,1.2099824370015995,926
R2,30303,completed,stop,27.196363935945556,18.620537606002472,0.40111023699864745,1.2387238920055097,845
R3,10101,incomplete,length,276.88938625203446,49.386030555004254,0.8679188268724829,1.964418461000605,8192
R3,20202,completed,stop,79.36272792797536,54.824082002996875,0.8336860339622945,1.9447366059976048,2488
R3,30303,completed,stop,71.07011131895706,61.89229701399745,0.8211823820602149,1.939068045001477,2270
P1,10101,completed,stop,12.859115554951131,15.440857019999385,0.4301624691579491,1.2256005889994412,467
P1,20202,completed,stop,13.146900532068685,15.404733937000856,0.4244066181126982,1.2724077300008503,500
P1,30303,completed,stop,12.433622303185984,15.146922811996774,0.4135871911421418,1.2672515049998765,450
P2,10101,completed,stop,45.68758332217112,38.52823781599727,0.6474449860397726,1.6705759879987454,1692
P2,20202,completed,stop,41.38979083998129,40.12771809100377,0.6071150389034301,1.657341839003493,1587
P2,30303,completed,stop,46.49847753206268,44.15107170799456,0.6008815669920295,1.6674767779986723,1769
P3,10101,completed,stop,29.12492214003578,29.69909142000688,0.6723764319904149,1.5924697010050295,944
P3,20202,completed,stop,33.90859159408137,23.760973597003613,0.6269558370113373,1.5882461389992386,1121
P3,30303,completed,stop,35.064385015983135,23.341128006999497,0.6268397490493953,1.5968049169969163,1136
S1,10101,completed,stop,24.329745785100386,25.21960436399968,0.3898395709693432,1.1219356419996984,598
S1,20202,completed,stop,24.885662880027667,23.35966212600033,0.366416109027341,1.1202657009998802,678
S1,30303,completed,stop,22.346650272840634,20.680491081999207,0.3659503429662436,1.1206460030007293,575
